#Name	Amplitude	Frequency	FrequencyDerivative	EclipticLatitude	EclipticLongitude	Inclination	Polarization	InitialPhase	GalacticLatitude	GalacticLongitude	Period	Mass1	ErrorMass1	Mass2	ErrorMass2	Distance	ErrorDistance
	1	4.252225602252246264e-23	6.220276235065469971e-03	7.485268735676203164e-16	-8.209991730272174493e-02	2.102051345707588226e+00	6.632251157578451517e-01	5.840950175706398184e+00	6.029880309099466817e-01	4.083232691625773292e-01	3.611515573372258370e+00	3.215291290000000117e+02	5.500000000000000444e-01	0.000000000000000000e+00	2.700000000000000178e-01	0.000000000000000000e+00	7.500000000000000000e+03	0.000000000000000000e+00
	1	9.381080048580119942e-23	3.512492522122951516e-03	8.282059142528352478e-17	8.165220844186913407e-01	5.148558354287899874e+00	1.047197551196597631e+00	1.987846236099070296e+00	1.375703697783817514e+00	1.117115441031490547e-01	1.007545415920538368e+00	5.693962299999999459e+02	8.000000000000000444e-01	1.000000000000000056e-01	1.769999999999999907e-01	7.099999999999999367e-02	2.089000000000000000e+03	6.840000000000000000e+02
	1	9.517180378050530324e-23	3.224707710477680428e-03	5.536765593143440873e-17	-3.548927927646196023e-01	4.294914200344342459e-01	1.047197551196597631e+00	1.155595975243449258e+00	1.625579806551966877e+00	-1.149529695899529358e+00	2.949054911826786807e+00	6.202112499999999500e+02	8.000000000000000444e-01	1.000000000000000056e-01	1.610000000000000042e-01	6.400000000000000133e-02	1.779000000000000000e+03	2.340000000000000000e+02
	1	5.328151922022905988e-23	2.129925452609158880e-03	7.681783466534843868e-18	7.805308612247896516e-02	3.636986034854161165e+00	1.047197551196597631e+00	1.285290136637022629e+00	2.941195195443305099e+00	9.271887118294676045e-01	5.733443244715664022e+00	9.390000000000000000e+02	8.000000000000000444e-01	1.000000000000000056e-01	1.000000000000000056e-01	4.000000000000000083e-02	1.530000000000000000e+03	7.550000000000000000e+02
	1	2.801008379283163110e-22	1.944140564473436543e-03	6.061849607212839245e-18	6.534962655570155654e-01	2.973723152659526470e+00	7.504915783575616395e-01	3.567121561244156691e+00	2.886326957110222580e+00	1.377731495597787736e+00	2.447550259229483771e+00	1.028732199999999921e+03	6.800000000000000488e-01	5.999999999999999778e-02	1.250000000000000000e-01	1.200000000000000025e-02	3.020000000000000000e+02	3.000000000000000000e+00
	1	6.476701621111870254e-23	1.843134508270144684e-03	3.863850951874513520e-18	1.072577588847642538e+00	5.204803793379396026e+00	2.617993877991494078e-01	3.741917727527864113e+00	4.457981426310531070e+00	2.432098859361578602e-01	1.233361350531320788e+00	1.085107999999999947e+03	8.000000000000000444e-01	1.000000000000000056e-01	8.500000000000000611e-02	3.400000000000000244e-02	9.770000000000000000e+02	3.200000000000000000e+01
	1	1.549809947963365248e-22	1.813729935612587224e-03	2.524963820183353544e-18	8.656626037851765376e-02	4.102997781403207256e+00	5.235987755982988157e-01	6.060223458964232535e+00	1.118740030466607083e+00	5.680470756588384962e-01	6.144538096730409293e+00	1.102700000000000045e+03	6.450000000000000178e-01	0.000000000000000000e+00	6.800000000000000488e-02	0.000000000000000000e+00	2.800000000000000000e+02	3.000000000000000000e+00
	1	3.140161442660295086e-23	1.484390887621219075e-03	1.366433231215056763e-18	1.204784530604350090e+00	5.393038804872240632e+00	1.047197551196597631e+00	4.104032738049671281e+00	3.339198104910742870e+00	2.722312207383195126e-01	1.389186091478626484e+00	1.347354000000000042e+03	8.000000000000000444e-01	1.000000000000000056e-01	6.600000000000000311e-02	2.599999999999999881e-02	1.364240000000000009e+03	4.717740000000000009e+02
	1	3.637762987605418095e-23	1.455604075691412005e-03	1.234167509627978231e-18	-1.091313555554406789e-01	4.678487037000467197e+00	1.047197551196597631e+00	4.705519181402342710e+00	1.053955507304803696e+00	-2.462310508713600257e-02	6.282921762462534865e+00	1.374000000000000000e+03	8.000000000000000444e-01	1.000000000000000056e-01	6.400000000000000133e-02	2.599999999999999881e-02	1.128000000000000000e+03	2.580000000000000000e+02
	1	1.234110176078628273e-22	1.359336904583249069e-03	1.061067942647445130e-18	3.123640022949428774e-01	3.530261214743811493e+00	5.235987755982988157e-01	4.106500609750883157e+00	4.830600316082552581e+00	1.160441494382997707e+00	5.950998535976757431e+00	1.471305599999999913e+03	8.850000000000000089e-01	0.000000000000000000e+00	6.600000000000000311e-02	0.000000000000000000e+00	3.510000000000000000e+02	5.000000000000000000e+00
	1	1.933651243784132483e-22	1.252818842395389499e-03	1.064205977388445235e-18	-5.291276111568994356e-01	3.772765199391372892e+00	2.356194490192344837e-01	4.698030703573854439e+00	5.831867556758203897e+00	3.617404314268486965e-01	5.399474492346549859e+00	1.596400000000000091e+03	9.749999999999999778e-01	0.000000000000000000e+00	8.399999999999999134e-02	0.000000000000000000e+00	2.870000000000000000e+02	5.000000000000000000e+00
	1	1.577206359643834140e-22	2.613673417060679779e-03	2.630927083834012694e-17	1.013402579631330763e-01	1.768608725711837915e+00	1.516691119983072378e+00	6.040068359785515817e+00	3.829561596723920935e+00	2.214578474685524878e-01	3.262503828180204568e+00	7.652065430000000106e+02	2.469999999999999973e-01	1.250000000000000069e-02	4.899999999999999911e-01	2.000000000000000042e-02	9.580000000000000000e+02	3.700000000000000000e+02
